 method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms,naib-xtez.csv,a34_coercion_threats_p,"medium
",501,0,0,58957,1.0,1.0,1.0,1.0,591.1303791999817,0.7,nyc_1000_8
cms_sampling,naib-xtez.csv,a34_coercion_threats_p,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,292.7455532550812,0.7,nyc_1000_8
cms_earlystopping,naib-xtez.csv,a34_coercion_threats_p,"medium
",0,0,501,58957,0.9915738840862458,0.0,0.0,0.0,29.199787378311157,0.7,nyc_1000_8
cms_minhash,naib-xtez.csv,a34_coercion_threats_p,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,1.2828612327575684,0.7,nyc_1000_8
cms_minhash_lsh,naib-xtez.csv,a34_coercion_threats_p,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,0.03415513038635254,0.7,nyc_1000_8
cms,kcey-vehy.csv,qsurveyzone_home,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,586.8289415836334,0.7,nyc_1000_8
cms_sampling,kcey-vehy.csv,qsurveyzone_home,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,289.8482267856598,0.7,nyc_1000_8
cms_earlystopping,kcey-vehy.csv,qsurveyzone_home,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,29.682791471481323,0.7,nyc_1000_8
cms_minhash,kcey-vehy.csv,qsurveyzone_home,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,1.259901523590088,0.7,nyc_1000_8
cms_minhash_lsh,kcey-vehy.csv,qsurveyzone_home,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,0.0004534721374511719,0.7,nyc_1000_8
cms,disc.csv,A29 Gang Related Behavior R,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,1316.6396415233612,0.7,nyc_1000_8
